Navn;Land;Rang;Position;Pris;Markedsværdi (EUR);Værdi-indeks;Popularitet;Ude af spil;Program R1-3;Runde 1;Runde 2;Runde 3;Runde 4;Runde 5;Runde 6;Runde 7;Runde 8
Oswin Appollis;Sydafrika;40;Angreb;3500000;2500000;0.71;0.0001859911468214113;Nej;1.7;Mexico 11/6;Tjekkiet 18/6;Sydkorea 25/6;;;;;
Chris Wood;New Zealand;43;Angreb;3500000;5000000;1.43;0.0019715061563069596;Nej;1.7;Iran 16/6;Egypten 22/6;Belgien 27/6;;;;;
Santiago Gimenez;Mexico;26;Angreb;3500000;18000000;5.14;0.006267901647881561;Nej;1.3;Sydafrika 11/6;Sydkorea 19/6;Tjekkiet 25/6;;;;;
Hyeon-Gyu Oh;Sydkorea;33;Angreb;3500000;15000000;4.29;0.0007439645872856452;Nej;1.7;Tjekkiet 12/6;Mexico 19/6;Sydafrika 25/6;;;;;
Noni Madueke;England;2;Angreb;3500000;50000000;14.29;0.0018041141241676897;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Ivan Toney;England;2;Angreb;3500000;20000000;5.71;0.001627422534687349;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Amad Diallo;Elfenbenskysten;12;Angreb;3500000;45000000;12.86;0.011075772793215043;Nej;2.0;Ecuador 14/6;Tyskland 20/6;Curaçao 25/6;;;;;
Nestory Irankunda;Australien;37;Angreb;3500000;8000000;2.29;0.00033478406427854036;Nej;2.3;Tyrkiet 14/6;USA 19/6;Paraguay 26/6;;;;;
Mohamed Amoura;Algeriet;23;Angreb;3500000;20000000;5.71;0.0005858721124874456;Nej;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Anthony Elanga;Sverige;14;Angreb;3500000;32000000;9.14;0.0035617304616300262;Nej;2.0;Tunesien 15/6;Holland 20/6;Japan 25/6;;;;;
Borja Iglesias;Spanien;3;Angreb;3500000;2800000;0.8;0.0020645017297176655;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Jean-Philippe Mateta;Frankrig;1;Angreb;3500000;30000000;8.57;0.0017483167801212662;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Maghnes Akliouche;Frankrig;1;Angreb;3500000;50000000;14.29;0.0003998809656660343;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Deniz Undav;Tyskland;4;Angreb;3500000;22000000;6.29;0.02095190268943198;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Ante Budimir;Kroatien;16;Angreb;3500000;2800000;0.8;0.0016181229773462784;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Michael Gregoritsch;Østrig;24;Angreb;3500000;1500000;0.43;0.003468734888219321;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Can Uzun;Tyrkiet;15;Angreb;3500000;45000000;12.86;0.002334188892608712;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Mohamed Zeki Amdouni;Schweiz;18;Angreb;3500000;7000000;2.0;0.0007160659152624335;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Ruben Vargas;Schweiz;18;Angreb;3500000;12000000;3.43;0.0023992857939962057;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Nico Elvedi;Schweiz;18;Forsvar;3000000;8000000;2.67;0.04006249302533199;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Silvan Widmer;Schweiz;18;Forsvar;3000000;800000;0.27;0.03606368336867165;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Ricardo Rodriguez;Schweiz;18;Forsvar;3000000;1400000;0.47;0.018199233716475097;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Ladislav Krejci;Tjekkiet;27;Forsvar;3000000;22000000;7.33;0.002668972956887252;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Vladimir Coufal;Tjekkiet;27;Forsvar;3000000;2500000;0.83;0.00345943533087825;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Mert Müldür;Tyrkiet;15;Forsvar;3000000;7000000;2.33;0.001776215452144478;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Abdulkerim Bardakci;Tyrkiet;15;Forsvar;3000000;6500000;2.17;0.005040360078860246;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Merih Demiral;Tyrkiet;15;Forsvar;3000000;12000000;4.0;0.004314994606256742;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
David Alaba;Østrig;24;Forsvar;3000000;3000000;1.0;0.028214856972808094;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Philipp Lienhart;Østrig;24;Forsvar;3000000;10000000;3.33;0.002864263661049734;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Stefan Posch;Østrig;24;Forsvar;3000000;6000000;2.0;0.004817170702674553;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Josip Sutalo;Kroatien;16;Forsvar;3000000;12000000;4.0;0.0007532641446267158;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Martin Erlic;Kroatien;16;Forsvar;3000000;4000000;1.33;0.0018413123535319718;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Duje Caleta-Car;Kroatien;16;Forsvar;3000000;2800000;0.93;0.000855559275378492;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Malick Thiaw;Tyskland;4;Forsvar;3000000;45000000;15.0;0.0036268273630175206;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Pierre Kalulu;Frankrig;1;Forsvar;3000000;26000000;8.67;0;Ja;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Maxence Lacroix;Frankrig;1;Forsvar;3000000;50000000;16.67;0.0020459026150355243;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Ibrahima Konate;Frankrig;1;Forsvar;3000000;45000000;15.0;0.028512442807722353;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Lucas Hernandez;Frankrig;1;Forsvar;3000000;18000000;6.0;0.009950526354945505;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Stefan de Vrij;Holland;7;Forsvar;3000000;7000000;2.33;0.00012089424543391734;Ja;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Jan Paul van Hecke;Holland;7;Forsvar;3000000;45000000;15.0;0.01102927500650969;Nej;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Marc Pubill;Spanien;3;Forsvar;3000000;35000000;11.67;0.002185395975151583;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Eric Garcia;Spanien;3;Forsvar;3000000;40000000;13.33;0.029247107837666927;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Victor Lindelöf;Sverige;14;Forsvar;3000000;5000000;1.67;0.003887214968567496;Nej;2.0;Tunesien 15/6;Holland 20/6;Japan 25/6;;;;;
Gabriel Gudmundsson;Sverige;14;Forsvar;3000000;20000000;6.67;0.0020645017297176655;Nej;2.0;Tunesien 15/6;Holland 20/6;Japan 25/6;;;;;
Daniel Svensson;Sverige;14;Forsvar;3000000;22000000;7.33;0.005244950340363799;Nej;2.0;Tunesien 15/6;Holland 20/6;Japan 25/6;;;;;
Gustaf Lagerbielke;Sverige;14;Forsvar;3000000;10000000;3.33;0.0007625637019677864;Nej;2.0;Tunesien 15/6;Holland 20/6;Japan 25/6;;;;;
Rayan Ait-Nouri;Algeriet;23;Forsvar;3000000;40000000;13.33;0.0024922813674069116;Nej;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Ramy Bensebaini;Algeriet;23;Forsvar;3000000;7000000;2.33;0.00047427742439459884;Nej;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Aissa Mandi;Algeriet;23;Forsvar;3000000;1000000;0.33;0.00048357698173566937;Nej;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Lisandro Martinez;Argentina;8;Forsvar;3000000;40000000;13.33;0.03541271435479671;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Julio Soler;Argentina;8;Forsvar;3000000;8000000;2.67;5.579734404642339e-05;Ja;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Jordan Bos;Australien;37;Forsvar;3000000;12000000;4.0;0.0004184800803481754;Nej;2.3;Tyrkiet 14/6;USA 19/6;Paraguay 26/6;;;;;
Cameron Burgess;Australien;37;Forsvar;3000000;1500000;0.5;0.0003533831789606815;Nej;2.3;Tyrkiet 14/6;USA 19/6;Paraguay 26/6;;;;;
Eder Militão;Brasilien;6;Forsvar;3000000;40000000;13.33;0.0010787486515641855;Ja;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Bremer;Brasilien;6;Forsvar;3000000;35000000;11.67;0.021472677900531936;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Leo Pereira;Brasilien;6;Forsvar;3000000;12000000;4.0;0.003998809656660343;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Guela Doue;Elfenbenskysten;12;Forsvar;3000000;20000000;6.67;0.0074117472008332404;Nej;2.0;Ecuador 14/6;Tyskland 20/6;Curaçao 25/6;;;;;
Harry Maguire;England;2;Forsvar;3000000;8000000;2.67;0.00016739203213927018;Ja;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Valentino Livramento;England;2;Forsvar;3000000;45000000;15.0;0.002073801287058736;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Alexander Djiku;Ghana;25;Forsvar;3000000;8500000;2.83;1.859911468214113e-05;Ja;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Caleb Yirenkyi;Ghana;25;Forsvar;3000000;10000000;3.33;0.008592790983149202;Nej;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Gideon Mensah;Ghana;25;Forsvar;3000000;4000000;1.33;0.0007439645872856452;Nej;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Tsuyoshi Watanabe;Japan;21;Forsvar;3000000;10000000;3.33;0.0014414313878659377;Nej;2.3;Holland 14/6;Tunesien 21/6;Sverige 25/6;;;;;
Shogo Taniguchi;Japan;21;Forsvar;3000000;750000;0.25;0.0012275415690213146;Nej;2.3;Holland 14/6;Tunesien 21/6;Sverige 25/6;;;;;
Young-woo Seol;Sydkorea;33;Forsvar;3000000;6500000;2.17;0.0008369601606963508;Nej;1.7;Tjekkiet 12/6;Mexico 19/6;Sydafrika 25/6;;;;;
Cesar Montes;Mexico;26;Forsvar;3000000;7500000;2.5;0.05185433173380947;Nej;1.3;Sydafrika 11/6;Sydkorea 19/6;Tjekkiet 25/6;;;;;
Jesus Gallardo;Mexico;26;Forsvar;3000000;2800000;0.93;0.010266711304541903;Nej;1.3;Sydafrika 11/6;Sydkorea 19/6;Tjekkiet 25/6;;;;;
Israel Reyes;Mexico;26;Forsvar;3000000;6500000;2.17;0.004649778670535283;Nej;1.3;Sydafrika 11/6;Sydkorea 19/6;Tjekkiet 25/6;;;;;
Johan Vasquez;Mexico;26;Forsvar;3000000;12000000;4.0;0.039076739947178515;Nej;1.3;Sydafrika 11/6;Sydkorea 19/6;Tjekkiet 25/6;;;;;
Junior Alonso;Paraguay;30;Forsvar;3000000;1500000;0.5;0.00022318937618569356;Nej;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Gustavo Gomez;Paraguay;30;Forsvar;3000000;3500000;1.17;0.0005951716698285161;Nej;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Juan Jose Caceres;Paraguay;30;Forsvar;3000000;5000000;1.67;0.00020459026150355242;Nej;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Aubrey Modiba;Sydafrika;40;Forsvar;3000000;1800000;0.6;0.0005486738831231633;Nej;1.7;Mexico 11/6;Tjekkiet 18/6;Sydkorea 25/6;;;;;
Khuliso Mudau;Sydafrika;40;Forsvar;3000000;1200000;0.4;0.0001580924747981996;Nej;1.7;Mexico 11/6;Tjekkiet 18/6;Sydkorea 25/6;;;;;
Martin Caceres;Uruguay;19;Forsvar;3000000;50000;0.02;0;Ja;1.7;Saudi-Arabien 15/6;Kap Verde 21/6;Spanien 27/6;;;;;
Guillermo Varela;Uruguay;19;Forsvar;3000000;1000000;0.33;0.00559833351932448;Nej;1.7;Saudi-Arabien 15/6;Kap Verde 21/6;Spanien 27/6;;;;;
Jose Luis Rodriguez Bebanz;Uruguay;19;Forsvar;3000000;2000000;0.67;9.299557341070565e-06;Ja;1.7;Saudi-Arabien 15/6;Kap Verde 21/6;Spanien 27/6;;;;;
Sergino Dest;USA;17;Forsvar;3000000;18000000;6.0;0.009634341405349106;Nej;2.0;Paraguay 13/6;Australien 19/6;Tyrkiet 26/6;;;;;
Chris Richards;USA;17;Forsvar;3000000;28000000;9.33;0.0030316556931890043;Nej;2.0;Paraguay 13/6;Australien 19/6;Tyrkiet 26/6;;;;;
Max Arfsten;USA;17;Forsvar;3000000;5000000;1.67;0.000427779637689246;Nej;2.0;Paraguay 13/6;Australien 19/6;Tyrkiet 26/6;;;;;
Deiver Machado;Colombia;22;Forsvar;3000000;1800000;0.6;0.0007346650299445746;Nej;2.0;Usbekistan 18/6;Congo DR 24/6;Portugal 27/6;;;;;
Yerry Mina;Colombia;22;Forsvar;3000000;2500000;0.83;0.001943607484283748;Nej;2.0;Usbekistan 18/6;Congo DR 24/6;Portugal 27/6;;;;;
Juan Cabal;Colombia;22;Forsvar;3000000;7000000;2.33;0;Ja;2.0;Usbekistan 18/6;Congo DR 24/6;Portugal 27/6;;;;;
Angelo Preciado;Ecuador;20;Forsvar;3000000;3500000;1.17;0.0009950526354945504;Nej;2.3;Elfenbenskysten 14/6;Curaçao 21/6;Tyskland 25/6;;;;;
Felix 'Feliz' Torres;Ecuador;20;Forsvar;3000000;1000000;0.33;0.0012275415690213146;Nej;2.3;Elfenbenskysten 14/6;Curaçao 21/6;Tyskland 25/6;;;;;
Willian Pacho;Ecuador;20;Forsvar;3000000;80000000;26.67;0.02305360264851393;Nej;2.3;Elfenbenskysten 14/6;Curaçao 21/6;Tyskland 25/6;;;;;
Amar Dedic;Bosnien-Hercegovina;31;Forsvar;3000000;16000000;5.33;0.003226946397351486;Nej;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
Nikola Katic;Bosnien-Hercegovina;31;Forsvar;3000000;1800000;0.6;0.0010229513075177621;Nej;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
Tarik Muharemovic;Bosnien-Hercegovina;31;Forsvar;3000000;25000000;8.33;0.001729717665439125;Nej;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
Arthur Theate;Belgien;9;Forsvar;3000000;17000000;5.67;0.008695086113900978;Nej;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Koni de Winter;Belgien;9;Forsvar;3000000;23000000;7.67;0.0014042331585016553;Nej;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Hussein Ali;Irak;46;Forsvar;3000000;400000;0.13;0.00025108804820890524;Nej;3.0;Norge 16/6;Frankrig 22/6;Senegal 26/6;;;;;
Eric Davis;Panama;42;Forsvar;3000000;50000;0.02;0.0006881672432392218;Nej;2.7;Ghana 17/6;Kroatien 23/6;England 27/6;;;;;
Rami Rabia;Egypten;34;Forsvar;3000000;600000;0.2;0.0005486738831231633;Nej;1.7;Belgien 15/6;New Zealand 22/6;Iran 27/6;;;;;
Nayef Aguerd;Marokko;11;Forsvar;3000000;35000000;11.67;0.0023899862366551354;Nej;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
Abdoulaye Seck;Senegal;13;Forsvar;3000000;400000;0.13;0.0013856340438195142;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Moussa Niakhate;Senegal;13;Forsvar;3000000;15000000;5.0;0.00044637875237138713;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Ali Abdi;Tunesien;35;Forsvar;3000000;2000000;0.67;0.0008834579474017037;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Montassar Talbi;Tunesien;35;Forsvar;3000000;8000000;2.67;0.00017669158948034074;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Saud Abdulhamid;Saudi-Arabien;41;Forsvar;3000000;9000000;3.0;0.00016739203213927018;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Andy Robertson;Skotland;29;Forsvar;3000000;7000000;2.33;0.04066696425250158;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Richie Laryea;Canada;28;Forsvar;3000000;1000000;0.33;0.0006974668005802924;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Alistair Johnston;Canada;28;Forsvar;3000000;8000000;2.67;0.002780567644980099;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Abdukodir Khusanov;Usbekistan;36;Forsvar;3000000;50000000;16.67;0.0028828627757318754;Nej;2.3;Colombia 18/6;Portugal 23/6;Congo DR 27/6;;;;;
Diney Borges;Kap Verde;38;Forsvar;3000000;900000;0.3;0.00025108804820890524;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Sidny Lopes Cabral;Kap Verde;38;Forsvar;3000000;4000000;1.33;0.00023248893352676412;Nej;2.0;Spanien 15/6;Uruguay 21/6;Saudi-Arabien 27/6;;;;;
Kristoffer Ajer;Norge;10;Forsvar;3000000;18000000;6.0;0.027201205222631402;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
David Møller Wolfe;Norge;10;Forsvar;3000000;8000000;2.67;0.012117323215414946;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Axel Tuanzebe;Congo DR;32;Forsvar;3000000;5000000;1.67;0.0007811628166499274;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Aaron Wan-Bissaka;Congo DR;32;Forsvar;3000000;15000000;5.0;0.001711118550756984;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Matthieu Epolo;Congo DR;32;Keeper;3000000;8000000;2.67;0.00016739203213927018;Nej;2.0;Portugal 17/6;Colombia 24/6;Usbekistan 27/6;;;;;
Sander Tangvik;Norge;10;Keeper;3000000;3000000;1.0;0.001134545995610609;Nej;2.3;Irak 16/6;Senegal 23/6;Frankrig 26/6;;;;;
Maxime Crepeau;Canada;28;Keeper;3000000;1800000;0.6;0.048599486664434775;Nej;1.7;Bosnien-Hercegovina 12/6;Qatar 18/6;Schweiz 24/6;;;;;
Liam Kelly;Skotland;29;Keeper;3000000;800000;0.27;0.0006323698991927984;Nej;2.3;Haiti 14/6;Marokko 19/6;Brasilien 24/6;;;;;
Mohammed Al-Owais;Saudi-Arabien;41;Keeper;3000000;275000;0.09;6.509690138749396e-05;Nej;2.0;Uruguay 15/6;Spanien 21/6;Kap Verde 27/6;;;;;
Aymen Dahmen;Tunesien;35;Keeper;3000000;800000;0.27;0.00020459026150355242;Nej;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Bechir Ben Said;Tunesien;35;Keeper;3000000;800000;0.27;0;Ja;2.7;Sverige 15/6;Japan 21/6;Holland 25/6;;;;;
Mory Diaw;Senegal;13;Keeper;3000000;900000;0.3;0.00013949336011605847;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Yehvann Diouf;Senegal;13;Keeper;3000000;7000000;2.33;0.00016739203213927018;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Munir Mohamedi El Kajoui;Marokko;11;Keeper;3000000;600000;0.2;0.00026968716289104636;Nej;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
El Mehdi Benabid;Marokko;11;Keeper;3000000;1600000;0.53;0;Ja;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
Mohamed El-Shennawy;Egypten;34;Keeper;3000000;500000;0.17;0.0008741583900606331;Nej;1.7;Belgien 15/6;New Zealand 22/6;Iran 27/6;;;;;
Alireza Beiranvand;Iran;44;Keeper;3000000;650000;0.22;0.015214075809991444;Nej;1.7;New Zealand 16/6;Belgien 21/6;Egypten 27/6;;;;;
Nikola Vasilj;Bosnien-Hercegovina;31;Keeper;3000000;4500000;1.5;0.002371387121972994;Nej;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
Gonzalo Valle;Ecuador;20;Keeper;3000000;1800000;0.6;0.0003719822936428226;Nej;2.3;Elfenbenskysten 14/6;Curaçao 21/6;Tyskland 25/6;;;;;
Matt Turner;USA;17;Keeper;3000000;2500000;0.83;0.002203995089833724;Nej;2.0;Paraguay 13/6;Australien 19/6;Tyrkiet 26/6;;;;;
Ronwen Williams;Sydafrika;40;Keeper;3000000;800000;0.27;0.0005114756537588811;Nej;1.7;Mexico 11/6;Tjekkiet 18/6;Sydkorea 25/6;;;;;
Gaston Olveira;Paraguay;30;Keeper;3000000;500000;0.17;0.00028828627757318754;Nej;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Orlando Gill;Paraguay;30;Keeper;3000000;6000000;2.0;0.00012089424543391734;Nej;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Roberto 'Gatito' Fernandez;Paraguay;30;Keeper;3000000;100000;0.03;0.00033478406427854036;Nej;2.0;USA 13/6;Tyrkiet 20/6;Australien 26/6;;;;;
Guillermo Ochoa;Mexico;26;Keeper;3000000;250000;0.08;0.0090670684075438;Nej;1.3;Sydafrika 11/6;Sydkorea 19/6;Tjekkiet 25/6;;;;;
Seung-Gyu Kim;Sydkorea;33;Keeper;3000000;500000;0.17;0.0005579734404642339;Nej;1.7;Tjekkiet 12/6;Mexico 19/6;Sydafrika 25/6;;;;;
Benjamin Asare;Ghana;25;Keeper;3000000;100000;0.03;0.0011810437823159617;Nej;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Lawrence Ati Zigi;Ghana;25;Keeper;3000000;1500000;0.5;0.00026038760554997583;Nej;2.3;Panama 17/6;England 23/6;Kroatien 27/6;;;;;
Yahia Fofana;Elfenbenskysten;12;Keeper;3000000;5000000;1.67;0.0026131756128408286;Nej;2.0;Ecuador 14/6;Tyskland 20/6;Curaçao 25/6;;;;;
Mohamed Kone;Elfenbenskysten;12;Keeper;3000000;2000000;0.67;0.0004928765390767399;Nej;2.0;Ecuador 14/6;Tyskland 20/6;Curaçao 25/6;;;;;
Mathew Ryan;Australien;37;Keeper;3000000;1800000;0.6;0.0018692110255551836;Nej;2.3;Tyrkiet 14/6;USA 19/6;Paraguay 26/6;;;;;
Luca Zidane;Algeriet;23;Keeper;3000000;1000000;0.33;0.0011531451102927501;Nej;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Alexis Guendouz;Algeriet;23;Keeper;3000000;900000;0.3;0;Ja;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Anthony Mandrea;Algeriet;23;Keeper;3000000;1500000;0.5;9.299557341070565e-06;Ja;2.0;Argentina 17/6;Jordan 23/6;Østrig 28/6;;;;;
Dominik Kotarski;Kroatien;16;Keeper;3000000;5000000;1.67;0.0019343079269426775;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Patrick Pentz;Østrig;24;Keeper;3000000;2200000;0.73;0.005700628650076256;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Muhammed Sengezer;Tyrkiet;15;Keeper;3000000;2000000;0.67;9.299557341070565e-06;Ja;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Altay Bayindir;Tyrkiet;15;Keeper;3000000;5000000;1.67;0.0023899862366551354;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Matej Kovar;Tjekkiet;27;Keeper;3000000;8000000;2.67;0.0035152326749246735;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Marvin Keller;Schweiz;18;Keeper;3000000;6000000;2.0;0.000855559275378492;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Pascal Loretz;Schweiz;18;Keeper;3000000;4000000;1.33;0;Ja;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Yvon Mvogo;Schweiz;18;Keeper;3000000;2500000;0.83;0.0003905814083249637;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Denis Zakaria;Schweiz;18;Midtbane;3000000;25000000;8.33;0.0037105233790871556;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Djibril Sow;Schweiz;18;Midtbane;3000000;7500000;2.5;0.0014600305025480786;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Noah Okafor;Schweiz;18;Midtbane;3000000;25000000;8.33;0.003719822936428226;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Johan Manzambi;Schweiz;18;Midtbane;3000000;50000000;16.67;0.011652345348361418;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Fabian Rieder;Schweiz;18;Midtbane;3000000;12000000;4.0;0.015688353234386044;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Lukas Provod;Tjekkiet;27;Midtbane;3000000;8000000;2.67;0.0005300747684410222;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Pedro 'Pote' Goncalves;Portugal;5;Midtbane;3000000;32000000;10.67;0;Ja;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Lukas Cerv;Tjekkiet;27;Midtbane;3000000;6000000;2.0;0.00030688539225532866;Nej;1.3;Sydkorea 12/6;Sydafrika 18/6;Mexico 25/6;;;;;
Orkun Kökcü;Tyrkiet;15;Midtbane;3000000;25000000;8.33;0.0045009857530781535;Nej;1.7;Australien 14/6;Paraguay 20/6;USA 26/6;;;;;
Patrick Wimmer;Østrig;24;Midtbane;3000000;12000000;4.0;0.00871368522858312;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Romano Schmid;Østrig;24;Midtbane;3000000;15000000;5.0;0.004835769817356694;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Konrad Laimer;Østrig;24;Midtbane;3000000;32000000;10.67;0.009615742290666964;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
Toni Fruk;Kroatien;16;Midtbane;3000000;9000000;3.0;0.0004184800803481754;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
