Navn;Land;Rang;Position;Pris;Markedsværdi (EUR);Værdi-indeks;Popularitet;Ude af spil;Program R1-3;Runde 1;Runde 2;Runde 3;Runde 4;Runde 5;Runde 6;Runde 7;Runde 8
Luis Diaz;Colombia;22;Angreb;5500000;70000000;12.73;0.06723579957594018;Nej;2.0;Usbekistan 18/6;Congo DR 24/6;Portugal 27/6;;;;;
Ayase Ueda;Japan;21;Angreb;5500000;17000000;3.09;0.003310642413421121;Nej;2.3;Holland 14/6;Tunesien 21/6;Sverige 25/6;;;;;
Marcus Rashford;England;2;Angreb;5500000;40000000;7.27;0.011205966595990031;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Neymar Jr.;Brasilien;6;Angreb;5500000;8000000;1.45;0.011801138265818547;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Ousmane Dembele;Frankrig;1;Angreb;5500000;100000000;18.18;0.1763568054160622;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Kai Havertz;Tyskland;4;Angreb;5500000;55000000;10.0;0.3357419186846706;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Andrej Kramaric;Kroatien;16;Angreb;5500000;2500000;0.45;0.001348435814455232;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Leroy Sane;Tyskland;4;Angreb;5500000;20000000;3.64;0.01611613287207529;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Rafael Leão;Portugal;5;Angreb;5500000;50000000;9.09;0.016385820034966334;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Francisco Conceicao;Portugal;5;Angreb;5500000;30000000;5.45;0.0047985715879924114;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
João Cancelo;Portugal;5;Forsvar;5000000;8000000;1.6;0.01611613287207529;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Virgil van Dijk;Holland;7;Forsvar;5000000;15000000;3.0;0.038900048357698176;Nej;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Denzel Dumfries;Holland;7;Forsvar;5000000;25000000;5.0;0.023778968121117433;Nej;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Marquinhos;Brasilien;6;Forsvar;5000000;28000000;5.6;0.0169344939180895;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Jordan Pickford;England;2;Keeper;5000000;13000000;2.6;0.026866421158352864;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Bento Krepski;Brasilien;6;Keeper;5000000;12000000;2.4;0;Ja;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Alisson Becker;Brasilien;6;Keeper;5000000;15000000;3.0;0.023118699549901426;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Ederson Moraes;Brasilien;6;Keeper;5000000;10000000;2.0;0.0010973477662463266;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Emiliano Martinez;Argentina;8;Keeper;5000000;12000000;2.4;0.05830822452851244;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Unai Simon;Spanien;3;Keeper;5000000;22000000;4.4;0.038974444816426736;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
David Raya;Spanien;3;Keeper;5000000;30000000;6.0;0.07436856005654131;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Mike Maignan;Frankrig;1;Keeper;5000000;20000000;4.0;0.054383811330580664;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Oliver Baumann;Tyskland;4;Keeper;5000000;2500000;0.5;0.0038221180671800022;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Manuel Neuer;Tyskland;4;Keeper;5000000;4000000;0.8;0.04989212513484358;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Diogo Costa;Portugal;5;Keeper;5000000;40000000;8.0;0.045400438939106495;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
João Neves;Portugal;5;Midtbane;5000000;140000000;28.0;0.04477736859725477;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Joshua Kimmich;Tyskland;4;Midtbane;5000000;35000000;7.0;0.05244020384629692;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Lennart Karl;Tyskland;4;Midtbane;5000000;60000000;12.0;0.0008090614886731392;Ja;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Fermin Lopez;Spanien;3;Midtbane;5000000;50000000;10.0;8.369601606963509e-05;Ja;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Dani Olmo;Spanien;3;Midtbane;5000000;60000000;12.0;0.15384257709333035;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Rodri Hernandez;Spanien;3;Midtbane;5000000;50000000;10.0;0.021026299148160548;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Nico Paz;Argentina;8;Midtbane;5000000;80000000;16.0;0.01843172265000186;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Enzo Fernandez;Argentina;8;Midtbane;5000000;90000000;18.0;0.036584458579771606;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Cole Palmer;England;2;Midtbane;5000000;130000000;26.0;0.00017669158948034074;Ja;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Kang-In Lee;Sydkorea;33;Midtbane;5000000;28000000;5.6;0.002901461890414016;Nej;1.7;Tjekkiet 12/6;Mexico 19/6;Sydafrika 25/6;;;;;
Maxi Araujo;Uruguay;19;Midtbane;5000000;35000000;7.0;0.0019250083696016069;Nej;1.7;Saudi-Arabien 15/6;Kap Verde 21/6;Spanien 27/6;;;;;
Sadio Mane;Senegal;13;Angreb;5000000;6000000;1.2;0.0033571402001264738;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Mohamed Salah;Egypten;34;Angreb;5000000;22000000;4.4;0.010145817059107987;Nej;1.7;Belgien 15/6;New Zealand 22/6;Iran 27/6;;;;;
Omar Marmoush;Egypten;34;Angreb;5000000;50000000;10.0;0.002594576498158688;Nej;1.7;Belgien 15/6;New Zealand 22/6;Iran 27/6;;;;;
Alexander Isak;Sverige;14;Angreb;5000000;85000000;17.0;0.008323103820258155;Nej;2.0;Tunesien 15/6;Holland 20/6;Japan 25/6;;;;;
Ferran Torres;Spanien;3;Angreb;5000000;50000000;10.0;0.08433768552616895;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Marcus Thuram;Frankrig;1;Angreb;5000000;50000000;10.0;0.003487334002901462;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Goncalo Ramos;Portugal;5;Angreb;5000000;30000000;6.0;0.005496038388572704;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Pedro Neto;Portugal;5;Angreb;5000000;60000000;12.0;0.005356545028456646;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Breel Embolo;Schweiz;18;Angreb;5000000;15000000;3.0;0.024801919428635195;Nej;1.7;Qatar 13/6;Bosnien-Hercegovina 18/6;Canada 24/6;;;;;
Nuno Mendes;Portugal;5;Forsvar;4500000;80000000;17.78;0.14958337983112005;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
Antonio Rüdiger;Tyskland;4;Forsvar;4500000;6000000;1.33;0.03602648513930737;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
Jonathan Tah;Tyskland;4;Forsvar;4500000;28000000;6.22;0.025796972064129748;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
David Raum;Tyskland;4;Forsvar;4500000;25000000;5.56;0.026113157013726147;Nej;2.0;Curaçao 14/6;Elfenbenskysten 20/6;Ecuador 25/6;;;;;
William Saliba;Frankrig;1;Forsvar;4500000;100000000;22.22;0.05222631402745229;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Theo Hernandez;Frankrig;1;Forsvar;4500000;20000000;4.44;0.02650373842205111;Nej;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Pedro Porro;Spanien;3;Forsvar;4500000;35000000;7.78;0.015195476695309303;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Marc Cucurella;Spanien;3;Forsvar;4500000;50000000;11.11;0.08934084737566492;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Robin Le Normand;Spanien;3;Forsvar;4500000;40000000;8.89;5.579734404642339e-05;Ja;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Aymeric Laporte;Spanien;3;Forsvar;4500000;8000000;1.78;0.022486329650708625;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Nicolas Otamendi;Argentina;8;Forsvar;4500000;1000000;0.22;0.009745936093441952;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
Gabriel Magalhaes;Brasilien;6;Forsvar;4500000;75000000;16.67;0.046460588475988544;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Marc Guehi;England;2;Forsvar;4500000;70000000;15.56;0.011977829855298888;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Ezri Konsa;England;2;Forsvar;4500000;40000000;8.89;0.003812818509838932;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Jose Maria Gimenez;Uruguay;19;Forsvar;4500000;9000000;2.0;0.002120299073764089;Nej;1.7;Saudi-Arabien 15/6;Kap Verde 21/6;Spanien 27/6;;;;;
Ronald Araujo;Uruguay;19;Forsvar;4500000;20000000;4.44;0.0030502548078711455;Nej;1.7;Saudi-Arabien 15/6;Kap Verde 21/6;Spanien 27/6;;;;;
Thibaut Courtois;Belgien;9;Keeper;4500000;15000000;3.33;0.07051854331733809;Nej;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Matz Sels;Belgien;9;Keeper;4500000;7000000;1.56;0;Ja;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Dean Henderson;England;2;Keeper;4500000;28000000;6.22;0.001050849979540974;Nej;2.0;Kroatien 17/6;Ghana 23/6;Panama 27/6;;;;;
Geronimo Rulli;Argentina;8;Keeper;4500000;6000000;1.33;0.0009392552914481271;Nej;1.7;Algeriet 17/6;Østrig 22/6;Jordan 28/6;;;;;
